num,x,y,targetX,targetY,errorX,errorY,tot_error,PID_x,PID_y
0,0,0,-7.548430514720482,-2.649881872420073,0,0,0.0,-0.0,-0.0
1,0,0,-7.524122303789985,-2.718129352563697,0,0,0.0,-0.0,-0.0
2,0,0,-7.428547406484104,-2.969394549639718,0,0,0.0,-0.0,-0.0
3,0,0,-7.3235620827607475,-3.21965009673019,0,0,0.0,-0.0,-0.0
4,0,0,-7.216574338403849,-3.4528394658997477,0,0,0.0,-0.0,-0.0
5,0,0,-7.099268969878909,-3.6879827197625907,0,0,0.0,-0.0,-0.0
6,0,0,-6.973301838589043,-3.9209593137521646,0,0,0.0,-0.0,-0.0
7,0,0,-6.836346434104152,-4.155150410699641,0,0,0.0,-0.0,-0.0
8,0,0,-6.69708685098757,-4.376052813138979,0,0,0.0,-0.0,-0.0
9,0,0,-6.542990204554738,-4.60328125731813,0,0,0.0,-0.0,-0.0
10,0,0,-6.3899187747614885,-4.813520474594971,0,0,0.0,-0.0,-0.0
11,0,0,-6.230708975463013,-5.01788997295004,0,0,0.0,-0.0,-0.0
12,0,0,-6.0628497455021435,-5.219458135295768,0,0,0.0,-0.0,-0.0
13,0,0,-5.883634386180402,-5.420812079925489,0,0,0.0,-0.0,-0.0
14,0,0,-5.696766542464751,-5.6167493443487295,0,0,0.0,-0.0,-0.0
15,0,0,-5.514658553098907,-5.795651590656536,0,0,0.0,-0.0,-0.0
16,0,0,-5.322180534455194,-5.972879428815771,0,0,0.0,-0.0,-0.0
17,0,0,-5.125147257822716,-6.142791417050977,0,0,0.0,-0.0,-0.0
18,0,0,-4.900166819304053,-6.323698524409717,0,0,0.0,-0.0,-0.0
19,0,0,-4.697462147191119,-6.4757201718525845,0,0,0.0,-0.0,-0.0
20,0,0,-4.485439972660733,-6.624326884337435,0,0,0.0,-0.0,-0.0
21,0,0,-4.22993760091862,-6.790315247597083,0,0,0.0,-0.0,-0.0
22,0,0,-4.035912151467116,-6.907406448891495,0,0,0.0,-0.0,-0.0
23,0,0,-3.80629029455106,-7.036547241137926,0,0,0.0,-0.0,-0.0
24,0,0,-3.5746124177597247,-7.157014293927458,0,0,0.0,-0.0,-0.0
